article_nr,title,description,brand,kba,part_state,quantity,vat,price,price_b2b,img_1,img_2,img_3,img_4,img_5,img_6
TODO,"AUDI A6 4F 05-11, INSTRUKTIONSBOG",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,200,200,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/565/0/134539,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/565/0/123418,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/565/0/83850,,,
TODO,"AUDI A6 4F 05-11, RELÆ DIVERSE",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/565/1/134540,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/565/1/123419,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/565/1/83851,,,
TODO,"AUDI A6 4F 05-11, ARMLÆN",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,400,400,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/565/3/154606,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/565/3/134542,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/565/3/123421,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/565/3/83911,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/565/3/83853,
TODO,"AUDI A6 4F 05-11, BENZIN/BRÆNDSTOF PUMPE EL",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,500,500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/566/1/162258,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/566/1/154608,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/566/1/134548,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/566/1/123427,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/566/1/83928,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/566/1/83913,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/566/1/83855
TODO,"AUDI A6 4F 05-11, LYGTEJUSTERINGSMOTOR",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,150,150,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/566/9/154609,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/566/9/134555,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/566/9/123434,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/566/9/83914,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/138/566/9/83857,
TODO,"AUDI A6 4F 05-11, GEARKASSE 4 X 4",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B1,1,TODO,8500,8500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/059/3/196501,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/059/3/196440,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/059/3/196355,,,
TODO,"AUDI A6 4F 05-11, TRÆKAKSEL FOR V.",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,800,800,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/063/3/196356,,,,,
TODO,"AUDI A6 4F 05-11, TRÆKAKSEL FOR H.",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,800,800,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/063/6/196357,,,,,
TODO,"AUDI A6 4F 05-11, BAGTØJSKLUMP","0AR500043A (HNL/HCC) / 08V500043A (HUP) PARTSLINK",AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B1,1,TODO,2500,2500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/066/6/196502,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/066/6/196443,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/066/6/196360,,,
TODO,"AUDI A6 4F 05-11, FORBRO KMPL.",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,1500,1500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/067/5/196361,,,,,
TODO,"AUDI A6 4F 05-11, FJEDERBEN FOR V",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,400,400,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/068/8/196444,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/068/8/196363,,,,
TODO,"AUDI A6 4F 05-11, FJEDERBEN FOR H",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,400,400,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/069/0/196445,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/069/0/196364,,,,
TODO,"AUDI A6 4F 05-11, TANDSTANG SERVO",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,1500,1500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/070/9/199420,,,,,
TODO,"AUDI A6 4F 05-11, SIDESPEJL EL",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,400,400,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/073/8/155643,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/073/8/136561,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/073/8/125442,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/073/8/88740,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/073/8/88671,
TODO,"AUDI A6 4F 05-11, SIDESPEJL EL",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,400,400,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/073/9/155644,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/073/9/136562,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/073/9/125443,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/073/9/88741,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/073/9/88672,
TODO,"AUDI A6 4F 05-11, RUDEMOTOR",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/1/155645,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/1/136563,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/1/125444,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/1/88742,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/1/88673,
TODO,"AUDI A6 4F 05-11, RUDEMOTOR",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/3/155646,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/3/136564,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/3/125445,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/3/88743,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/3/88674,
TODO,"AUDI A6 4F 05-11, CENTRALLÅS EL.",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/5/155647,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/5/136565,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/5/125446,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/5/88744,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/5/88675,
TODO,"AUDI A6 4F 05-11, CENTRALLÅS EL.",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/7/155648,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/7/136566,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/7/125447,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/7/88745,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/074/7/88676,
TODO,"AUDI A6 4F 05-11, INSTRUMENT MED OMDR.",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,1000,1000,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/2/155649,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/2/136567,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/2/125448,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/2/91383,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/2/91279,
TODO,"AUDI A6 4F 05-11, MULTISKÆRM",,AUDI,"0588848,0588849,0588882,0588883,0588ABB,0588ABC,0588ABS,0588ABT",B,1,TODO,800,800,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/4/155650,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/4/136569,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/4/125450,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/4/91384,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/139/075/4/91281,
