article_nr|quantity|price|price_b2b
BO499918|0|845|845
BO571483|0|785|785
BO470113|0|726|726
BO473172|0|845|845
BO443816|0|1083|1083
BO585624|0|547|547
BO533324|0|1321|1321
BO533589|0|1214|1214
